Profile,Wheel,Depth.Upper,Depth.Lower,ConeIndex,Crop,Tillage,ResidueRemoved,Plot,Field,Block,Plot_2,Side,Tx,GWC,BD,VWC,TC.perc,OM.perc
115W,Untrafficked,30,60,1.480927294,CC,CP,0,115,70,1,15,W,1,0.18605547,1.998456814,0.371823822,1.22,2.1
116E,Trafficked,0,5,0.260380729,CC,NT,35,116,71,1,16,E,4,,,,,
116E,Untrafficked,0,5,0.196462435,CC,NT,35,116,71,1,16,E,4,0.184029614,1.367294902,0.251622753,2.31,2.9
116E,Trafficked,5,15,0.720775976,CC,NT,35,116,71,1,16,E,4,,,,,
116E,Untrafficked,5,15,0.832300725,CC,NT,35,116,71,1,16,E,4,0.189362678,1.615115063,0.305842513,1.83,2.5
116E,Trafficked,15,30,1.137557894,CC,NT,35,116,71,1,16,E,4,,,,,
116E,Untrafficked,15,30,1.009185771,CC,NT,35,116,71,1,16,E,4,0.234989648,1.538258656,0.36147486,1.91,3.1
116E,Trafficked,30,60,1.604570014,CC,NT,35,116,71,1,16,E,4,,,,,
116E,Untrafficked,30,60,1.247977605,CC,NT,35,116,71,1,16,E,4,0.217098446,1.73044257,0.375676392,0.85,1.8
116W,Trafficked,0,5,1.533195796,CC,NT,35,116,71,1,16,W,4,,,,,
116W,Untrafficked,0,5,0.333800801,CC,NT,35,116,71,1,16,W,4,0.212550607,1.170316017,0.24875138,1.96,2.6
116W,Trafficked,5,15,0.776264687,CC,NT,35,116,71,1,16,W,4,,,,,
116W,Untrafficked,5,15,1.027100944,CC,NT,35,116,71,1,16,W,4,0.19591002,1.49173752,0.292246328,1.77,2.4
116W,Trafficked,15,30,1.281657484,CC,NT,35,116,71,1,16,W,4,,,,,
116W,Untrafficked,15,30,1.215448084,CC,NT,35,116,71,1,16,W,4,0.216136919,1.559342609,0.337031508,2.07,3.3
116W,Trafficked,30,60,1.378774677,CC,NT,35,116,71,1,16,W,4,,,,,
116W,Untrafficked,30,60,1.236738124,CC,NT,35,116,71,1,16,W,4,0.224489796,1.618948257,0.363437364,1.25,2.5
119E,Trafficked,0,5,0.39547033,CC,CP,60,119,70,1,19,E,5,,,,,
119E,Untrafficked,0,5,0.157314111,CC,CP,60,119,70,1,19,E,5,0.203899721,1.09962194,0.224212607,2.11,3.3
119E,Trafficked,5,15,0.984413461,CC,CP,60,119,70,1,19,E,5,,,,,
119E,Untrafficked,5,15,0.248774852,CC,CP,60,119,70,1,19,E,5,0.225128445,1.482904262,0.33384393,2.23,3.3
119E,Trafficked,15,30,1.357975689,CC,CP,60,119,70,1,19,E,5,,,,,
