Year,May.tmin.C,May.tmean.C,May.tmax.C
2008,8.1,14.5,20.8
2009,9.9,15.7,21.5
2010,9.6,15.6,21.7
2011,9.1,15.2,21.2
2012,12.2,19.1,25.9
2013,9.8,15.2,20.6
2014,10,15.9,21.8
2015,10.6,15.7,20.9
2016,9.8,15.6,21.4
2017,9.5,15.3,21.2
2018,14,20,26.1
2019,8.6,14,19.5
2020,9.8,14.7,19.6
2021,10.2,15.5,20.8
